"@id ","O11 Eqp Manufacturer ","O11 Eqp Model ","O11 Eqp Model Num ","O11 Eqp Description ","O11 Eqp Memory ","O11 Eqp Harddrive ","O11 Eqp Processor ","O11 Eqp Features ","O11 Eqp Accessories ","O11 Eqp Toner Type ","O11 Eqp Purchase Date ","O11 Eqp Warrenty Type ","O11 Eqp Warrenty Length ","O11 Eqp Warrenty End Date ","O11 Eqp Lease Term ","O11 Eqp Term Length ","O11 Eqp Lease End Date ","O11 Eqp Service Type ","O11 Eqp Service Vendor ","O11 Eqp Service Start Date ","O11 Eqp Service Length ","O11 Eqp Type "
"XPS139360c","Dell","XPS13","XPS139360","FY18 Dell XPS13 9360 i7","16GB LPDDR3 1866MHz","256GB M.2 PCIe SSD","4.0GHz Intel Core i7-7660U","13.3” LCD","USBC to USB Adapter","","2018-04-22","ProSupport","3 YEAR","2021-04-23","","","","","","","","Laptop"
"","","","","","","",""," Intel(R) HD Graphics 615","30W Power Adapter","","","","","","","","","","","","",""
"MBP132017c","Apple","MacBook Pro","MBP132017c","FY19 MacBook Pro 13 2017","8GB 2133MHz LPDDR3 SDRAM","256GB 5400RPM","2.3GHz dual-core Intel Core i5","13.3”" LCD","Power Adapter","","2018-08-12","Apple Limited Warranty","3 YEAR","2021-08-13","","","","","","","","Laptop"
"","","","","","","","","HDMI video output","Mini-Display to VGA Adapter","","","","","","","","","","","","",""
"","","","","","","","","SDXC card slot","","","","","","","","","","","","","",""
"","","","","","","","","Intel Iris Plus Graphics 640","","","","","","","","","","","","","",""
"","","","","","","","","2x Thunderbolt 3 ports","","","","","","","","","","","","","",""
"LJ 4100","HP","LJ 4100","","HP 4100 Laserjet Printer","","","","","","","","","","","","","","","","","","Printer"
"MBAIR13R2018b","Apple","MacBook Air","MBAIR13R2018b","FY20 MacBook Air13 Retina 2018","16GB 2133MHz LPDDR3 SDRAM","512GB 5400RPM","1.6GHz dual-core 8th gen i5","13.3”" Retina LCD","USB-C Mobile Adapter","","2019-06-09","Apple Limited Warranty","3 YEAR","2022-06-10","","","","","","","","Laptop"
"","","","","","","","","2 Thunderbolt 3 (USB-C) ports","USB-C Power Adapter","","","","","","","","","","","","",""
"","","","","","","","","Intel UHD Graphics 617","","","","","","","","","","","","","",""
"","","","","","","","","Touch ID","","","","","","","","","","","","","",""
"SurfPro6a","Microsoft","1796","1796","FY2020 Surface Pro 6","8GB RAM","128GB","Intel Core i5","Windows 8.1 Pro","Pen","","2019-06-28","limited warranty","1 YEAR","2020-06-29","","","","","","","","Tablet PC"
"","","","","","","","","802.11 a/b/g/n/ac","AC Power Supply w/USB port","","","","","","","","","","","","",""
"","","","","","","","","Bluetooth 4.0","","","","","","","","","","","","","",""
"iPad7Gen_128Wb","Apple","iPad","MW772LL-A","FY2021 iPad WIFI 128 GB","","128 GB","","WiFi (802.11 a/b/g/n)","10W USB Power Adapter","","2020-08-26","Apple Limited Warranty","1 YEAR","2021-08-27","","","","","","","","Handheld"
"","","","","","","","","Bluetooth 2.1","Lightning to USB cable","","","","","","","","","","","","",""
"SS2","Polycom","SoundStation2","","Polycom SoundStation2 Phone","","","","","","","2007-01-01","Depot","6 MONTH","2007-07-01","","","","","","","","Conference Phone"
"iMac27R2020d","Apple","iMac","iMac27R5K20","FY2022 iMac 27"" Retina 5K","8GB 2666 MHz DDR4","256GB SSD","3.1GHz 6-core Intel Core i5","Built-In FaceTime HD camera","Apple Magic Mouse 2","","2022-04-26","Apple Care","3 YEAR","2025-04-27","","","","","","","","Desktop"
"","","","","","","","","Four USB 3 ports","Apple Magic Keyboard","","","","","","","","","","","","",""
"","","","","","","","","4 USB-C Ports","","","","","","","","","","","","","",""
"","","","","","","","","SD Card Slot","","","","","","","","","","","","","",""
"","","","","","","","","Radeon Pro 5300 w/ 4GB GDDR6","","","","","","","","","","","","","",""
"","","","","","","","","1Gb Ethernet Port","","","","","","","","","","","","","",""
"Alienware_R13","Dell","22R13","Alienware_R13","FY22 Alienware Aurora R13","32GB DDR5 at 4400MHz","1TB Boot + 2TB Storage","Intel core i7","NVIDIA GeForce RTX 3080","Wired Multimedia Keyboard","","2022-09-22","Limited Hardware","1 YEAR","","","","","","","","","Desktop"
"","","","","","","","","with 10GB GDDDR6X","Optical Mouse MS116AW","","","","","","","","","","","","",""
"","","","","","","","","32GB DDR5 at 4400MHz","Dark Side of the Moon Cover","","","","","","","","","","","","",""
"","","","","","","","","12th Gen Intel Core i7 12700XF","","","","","","","","","","","","","",""
"MBP132020g","Apple","MacBook Air","MBAIR13M12020","FY23 MacBook Air13 2020","8GB memory","256GB SSD","M1 chip with 8-core CPU","13.3”" Retina LCD","USB-C Mobile Adapter","","2023-01-30","Apple Limited Warranty","3 YEAR","2026-12-31","","","","","","2022-12-30","","Laptop"
"","","","","","","","","Touch ID","USB-C Power Adapter","","","","","","","","","","","","",""
"","","","","","","","","2 Thunderbolt/USB 4 ports","","","","","","","","","","","","","",""
"","","","","","","","","Wi-Fi 6 and Bluetooth 5","","","","","","","","","","","","","",""
"","","","","","","","","7 core GPU","","","","","","","","","","","","","",""
"LAT7440a","Dell","Latitude","LAT7440","FY24 Dell Latitude 7440 i7","16GB LPDDR5 4800 MT/s","512GB SSD","13th Gen Intel Core i7-1355U","Intel IRIS Xe Graphics","65w AC Adapter USB-C","","2023-06-09","ProSupportPlus","3 YEAR","2026-06-10","","","","","","","","Laptop"
"","","","","","","","","14.0"" LCD","","","","","","","","","","","","","",""
"","","","","","","","","Intel WiFi 6E  AX211","","","","","","","","","","","","","",""
"","","","","","","","","57WHr Battery","","","","","","","","","","","","","",""
