"@id ","O11 Eqp Manufacturer ","O11 Eqp Model ","O11 Eqp Model Num ","O11 Eqp Description ","O11 Eqp Memory ","O11 Eqp Harddrive ","O11 Eqp Processor ","O11 Eqp Features ","O11 Eqp Accessories ","O11 Eqp Toner Type ","O11 Eqp Purchase Date ","O11 Eqp Warrenty Type ","O11 Eqp Warrenty Length ","O11 Eqp Warrenty End Date ","O11 Eqp Lease Term ","O11 Eqp Term Length ","O11 Eqp Lease End Date ","O11 Eqp Service Type ","O11 Eqp Service Vendor ","O11 Eqp Service Start Date ","O11 Eqp Service Length ","O11 Eqp Type "
"","","","","","","","","Two Thunderbolt 3 (USB-C) port","Apple Magic Mouse 2","","","","","","","","","","","","",""
"","","","","","","","","SDXC Card Slot","","","","","","","","","","","","","",""
"","","","","","","","","Four USB-A Ports","","","","","","","","","","","","","",""
"","","","","","","","","Radeon Pro 570 w/ 4GB VRAM","","","","","","","","","","","","","",""
"MBAIR132017b","Apple","MacBook Air","MBAIR132017b","FY19 MacBook Air 13 2017","8GB 1600MHz LPDDR3 SDRAM","256GB 5400RPM","1.8GHz dual-core Intel Core i5","13.3”" LCD","Power Adapter","","2018-07-15","Apple Limited Warranty","3 YEAR","2021-07-16","","","","","","","","Laptop"
"","","","","","","","","HDMI video output","Mini-Display to VGA Adapter","","","","","","","","","","","","",""
"","","","","","","","","SDXC card slot","","","","","","","","","","","","","",""
"","","","","","","","","Intel HD Graphics 6000","","","","","","","","","","","","","",""
"Precision5530c","Dell","Precision","Precision5530","FY19 Dell Precision 5530 i7","32GB 2666MHz DDR4","512GB M.2 PCIe SSD","2.6GHz Intel i7-8850H 6Core","13.3” LCD","USBC to USB Adapter","","2018-08-29","ProSupport","3 YEAR","2021-08-30","","","","","","","","Laptop"
"","","","","","","","","Nvidia Quadro P1000 w/4GB GDDR","30W Power Adapter","","","","","","","","","","","","",""
"","","","","","","","","Bluetooth 5.0","USB-C to Ethernet adapter","","","","","","","","","","","","",""
"","","","","","","","","Qualcomm QCA6174AXR Wireless","","","","","","","","","","","","","",""
"VPL-CX10","Sony","VPL-CX10","","VPL-CX10 Projector","","","","","","","","","","","","","","","","","","Projector"
"Precision5820","Dell","Precision","5820","Precision Workstation 5820","16GB (2x4G) 2133MHz DDR4","1TB 7200rpm SATA HDD","3.6GHz Intel Xeon W-2123","Radeon Pro WX 4100 Graphics","AC Power Cable","","2019-06-10","Pro Support Plus","3 YEAR","2022-06-11","","","","","","","","Desktop"
"XPS139305a","Dell","XPS13","XPS139305","FY21 Dell XPS13 9305 i7","8GB LPDDR3 1866MHz","256GB M.2 PCIe SSD","11th Gen Intel Core i7-1165G7","13.3” LCD","65 W (USB Type-C)","","2021-03-16","ProSupport","3 YEAR","2024-03-17","","","","","","","","Laptop"
"","","","","","","","","52WHr Battery","","","","","","","","","","","","","",""
"","","","","","","","","Intel Iris Xe Graphics","","","","","","","","","","","","","",""
"","","","","","","","","Intel Killer 1650W","","","","","","","","","","","","","",""
"VT540","NEC","VT540","VT540","NEC VT 540 Projector","","","","","","","","","","","","","","","","","","Projector"
"Intellistation M Pro","IBM","Intellistation M Pro","","IBM M Pro Desktop","","","","","","","","","","","","","","","","","","Desktop"
"XL25U","Mitsubishi","XL25U","XL25U","Mitsubishi XL25U Projector","","","","","","","","","","","","","","","","","","Projector"
"XV-S400BK","JVC","XV-S400BK","","JCV XV-S400BK DVD Player","","","","","","","","","","","","","","","","","","DVD"
"D620b","Dell","Latitude","D620b","FY2007 Second Shipment","1 GB DDR2","60 GB SATA II 5.4K","2.0 GHz Intel Duo 667 FSB L2","WXGA+ 14.1 LCD","65-Watt Power Adapter","","2006-06-06","Next Business Day 9-5","4 YEAR","2010-06-02","","","","","","","","Laptop"
"","","","","","","","","56-WHr 6 Cell Battery","","","","","","","","","","","","","",""
"","","","","","","","","24X CDRW/DVD","","","","","","","","","","","","","",""
"","","","","","","","","Intel 3945 802.11a/g WiFi","","","","","","","","","","","","","",""
"","","","","","","","","56K v924 Internal Modem","","","","","","","","","","","","","",""
"","","","","","","","","10/100/1000 Gigabit Ethernet","","","","","","","","","","","","","",""
"","","","","","","","","Nvidia Quadro 110M 256 MB","","","","","","","","","","","","","",""
"MBP13M09b","Apple","MacBook Pro","MBP13M09b","FY2010 MacBook Pro 13 Mid 2009","2GB 1066 DDR3","160 GB 5400RPM","2.26 GHz Core 2 Duo","13.3”" LCD","Power Adapter","","2009-06-26","Apple Limited Warranty","1 YEAR","2010-06-25","","","","","","","","Laptop"
"","","","","","","","","GeForce 9400M","Mini-Display to VGA Adapter","","","","","","","","","","","","",""
"","","","","","","","","SuperDrive","","","","","","","","","","","","","",""
"iPodTouch2010b","Apple","iPod Touch","MB528LL-A","FY2010 iPod Touch G2 Model B","","8 GB","","","USB 2.0 cable","","2009-06-27","Apple Limited Warranty","1 YEAR","2010-06-26","","","","","","","","Handheld"
"","","","","","","","","","Earphones","","","","","","","","","","","","",""
"MBP15M10a","Apple","MacBook Pro","MBP15M10a","FY2011 MacBook Pro 15 Mid 2010","4GB 1066 DDR3","320 GB 5400RPM","2.4 GHz Core I5","SuperDrive","Power Adapter","","2010-05-01","Apple Limited Warranty","3 YEAR","2013-04-30","","","","","","","","Laptop"
"","","","","","","","","15.4"" LCD","Mini-Display to VGA Adapter","","","","","","","","","","","","",""
"","","","","","","","","GeForce GT 330 M Video","","","","","","","","","","","","","",""
"MB13E08p","Apple","MacBook","MB13E08","FY2009 Model MacBook Parts","2GB 667 DDR2","160 GB","2.4 GHz Core Duo","DVD-RW","Power Adapter","","2008-03-29","Apple Limited Warranty","1 YEAR","2009-03-28","","","","","","","","Laptop"
"","","","","","","","","13.3”" LCD","","","","","","","","","","","","","",""
"MBP15L08a","Apple","MacBook Pro","MBP15L08a","FY2009 MacBook Pro Jan 2009","4GB 1066 DDR3","320 GB 7200RPM","2.8 GHz Core 2 Duo","DVD-RW","Power Adapter","","2008-11-17","Apple Limited Warranty","1 YEAR","2009-11-16","","","","","","","","Laptop"
"","","","","","","","","15.4"" LCD","","","","","","","","","","","","","",""
"","","","","","","","","GeForce 9600GT 512MB","","","","","","","","","","","","","",""
"MB13M10c","Apple","MacBook","MB13M10c","FY2011 MacBook Mid 2010","2GB 1066 DDR3","250 GB","2.4 GHz Core Duo","DVD-RW","Power Adapter","","2011-02-18","Apple Limited Warranty","3 YEAR","2014-02-17","","","","","","","","Laptop"
"","","","","","","","","13.3”" LCD","Mini-DVI to VGA Adapter","","","","","","","","","","","","",""
"","","","","","","","","nVidia GeForce 320M","","","","","","","","","","","","","",""
"MBP15E11","Apple","MacBook Pro","MBP15E11","FY2012 MacBook Pro 15 Ear 2011","4GB 1333MHz DDR3","500GB 5400RPM","2.0GHz quad-core Intel Core i7","SuperDrive","Power Adapter","","2011-03-12","Apple Limited Warranty","3 YEAR","2014-03-11","","","","","","","","Laptop"
"","","","","","","","","15.4"" LCD","Mini-Display to VGA Adapter","","","","","","","","","","","","",""
"","","","","","","","","GeForce GT 330 M Video","","","","","","","","","","","","","",""
"MBP15E11a","Apple","MacBook Pro","MBP15E11a","FY2012 MacBook Pro 15 Ear 2011","4GB 1333MHz DDR3","500GB 5400RPM","2.0GHz quad-core Intel Core i7","SuperDrive","Power Adapter","","2011-03-26","Apple Limited Warranty","3 YEAR","2014-03-25","","","","","","","","Laptop"
"","","","","","","","","15.4"" LCD","Mini-Display to VGA Adapter","","","","","","","","","","","","",""
"","","","","","","","","AMD Radeon HD 6490M","","","","","","","","","","","","","",""
"AppleTV_2012a","Apple","Apple TV","MC572LL-A","FY2012 Apple TV 2nd Gen","","","","","Power Cable","","2011-07-23","Apple Limited Warranty","1 YEAR","2012-07-22","","","","","","","","Multimedia"
"iPod_2012_32a","Apple","iPod Touch","MC544LL-A","FY2012 iPod Touch G4 32GB","","32 GB","","","USB 2.0 cable","","2011-08-18","Apple Limited Warranty","1 YEAR","2012-08-17","","","","","","","","Handheld"
"","","","","","","","","","Earphones","","","","","","","","","","","","",""
"iPh4_2012_16","Apple","iPhone","MC318LL-A","iPhone 4 16 GB FY2012","","16 GB","","","USB 2.0 cable","","2011-07-07","Apple Limited Warranty","1 YEAR","2012-07-06","","","","","","","","Handheld"
"","","","","","","","","","Earphones","","","","","","","","","","","","",""
"","","","","","","","","","USB Power Adapter","","","","","","","","","","","","",""
"iPad3_2013_32Wa","Apple","iPad","MC706LL-A","FY2013 iPad3 WiFi  32 GB","","32 GB","","WiFi (802.11 a/b/g/n)","USB 2.0 cable","","2012-03-16","Apple Limited Warranty","1 YEAR","2013-03-15","","","","","","","","Handheld"
"","","","","","","","","Bluetooth 2.1","10W USB Power Adapter","","","","","","","","","","","","",""
"MBAIR13M12e","Apple","MacBook","MBAIR13M12e","FY2013 13 MBAir Faculty Model","8 GB  DDR3","256 GB","1.8 GHz Core Duo Intel i5","13.3”" LCD","Power Adapter","","2012-10-24","Apple Limited Warranty","3 YEAR","2015-10-25","","","","","","","","Laptop"
"","","","","","","","","Solid State Hard Drive","Video Adapter","","","","","","","","","","","","",""
"","","","","","","","","Thunderbolt Port","","","","","","","","","","","","","",""
"MBP13M12f","Apple","MacBook Pro","MBP13M12f","FY2014 MacBook Pro 13 Mid 2012","4GB 1600MHz DDR3","500GB 5400RPM","2.5GHz dual-core Intel Core i5","SuperDrive","Power Adapter","","2013-03-27","Apple Limited Warranty","1 YEAR","2016-03-28","","","","","","","","Laptop"
"","","","","","","","","13.3”" LCD","Mini-Display to VGA Adapter","","","","","","","","","","","","",""
"","","","","","","","","Intel HD Graphics 3000","","","","","","","","","","","","","",""
"","","","","","","","","Thunderbolt Port","","","","","","","","","","","","","",""
"G5b","MAC","G5","G5-1.8Ghz","G5 Desktop B","256 MB","80GB","1.8 GHz Dual","NVIDIA GeForce FX 5200","","","","Depot","3 YEAR","2005-07-26","","","","","","","","Desktop"
"","","","","","","","","SuperDrive (DVD-R/CD-RW)","","","","","","","","","","","","","",""
"","","","","","","","","FireWire 800","","","","","","","","","","","","","",""
"3020","Dell","OptiPlex","3020MiniTower","FY2014 - OptiPlex3020MiniTower","16GB 1600MHz DDR3","500GB 5400rpm Solid State","3.2GHz Intel Core i5-4570","AMD Radeon HD 8490, 1GB DDR3","","","2014-03-26","Basic Hardware + Complete Care","5 YEAR","2019-03-27","","","","","","","","Desktop"
"","","","","","","","","Broadcom NetXtreme Gigabitcard","","","","","","","","","","","","","",""
"OptiPlex7010","Dell","OptiPlex","7010MiniTower","Optiplex 7010 MT Desktop","8GB Dual Channel DDR3 1600MHz","1TB SATA 6Gb","3rd Gen Intel Core i5-3470","16X DVD-ROM Drive","USB Dell Dell Keyboard","","2014-05-28","Basic Hardware Service","3 YEAR","2017-05-29","","","","","","","","Desktop"
"","","","","","","","","HD2500 Graphics","USB Dell Optical Mouse","","","","","","","","","","","","",""
"iPadA_2014_32Wa","Apple","iPad","MD786LL-B","FY2015 iPadA WIFI 32 GB","","32 GB","","WiFi (802.11 a/b/g/n)","10W USB Power Adapter","","2014-10-31","Apple Limited Warranty","1 YEAR","2015-11-01","","","","","","","","Handheld"
"","","","","","","","","Bluetooth 2.1","Lightning to USB Cable","","","","","","","","","","","","",""
"MBAIR13E15b","Apple","MacBook Air","MBAIR13E15b","FY2016 13 MBAir Ear 2015","8 GB  DDR3","512 GB","1.6GHz dual-core Intel Core i5","13.3”" LCD","Power Adapter","","2016-02-25","Apple Limited Warranty","3 YEAR","2019-02-26","","","","","","","","Laptop"
"","","","","","","","","Solid State Hard Drive","Video Adapter","","","","","","","","","","","","",""
"","","","","","","","","Thunderbolt Port","","","","","","","","","","","","","",""
"","","","","","","","","SDXC card slot","","","","","","","","","","","","","",""
"Precision7810a","Dell","Precision","7810","Precision Workstation T7810","32GB 2133MHz DDR4","256GB SSD + 1TB drive","Dual Intel Xeon 1.6 GHz","NVIDIA Quadro M4000 8GB","","","2016-02-27","ProSupport: Next Business Day","3 YEAR","2019-02-28","","","","","","","","Desktop"
"","","","","","","","","Broadcom NetExtreme Gigabit","","","","","","","","","","","","","",""
"Latitude5289","Dell","XPS13","Precision5520","FY18 Dell Latitude 5289 - i7","16GB 2400MHz DDR4","512GB PCIe NVMe SSD","2.8GHz Intel Core I7-7600U","13.3” LCD","USBC to USB Adapter","","2017-07-11","ProSupport","3 YEAR","2020-06-12","","","","","","","","Laptop"
"","","","","","","",""," Intel(R) HD Graphics 615","30W Power Adapter","","","","","","","","","","","","",""
"MBP152017","Apple","MacBook Pro","MBP152017","FY2019 Macbook Pro 15 2017","16GB 1600MHz DDR3L","256GB Flash Storage","2.8GHz quad-core Intel Core i7","15.4"" LCD","Power Adapter","","2018-06-04","Apple Limited Warranty","3 YEAR","2021-06-05","","","","","","","","Laptop"
"","","","","","","","","Retina Display","Mini-Display to VGA Adapter","","","","","","","","","","","","",""
"","","","","","","","","Flash Storage","","","","","","","","","","","","","",""
"","","","","","","","","720p FaceTime HD camera","","","","","","","","","","","","","",""
"","","","","","","","","Radeon Pro 560 graphics","","","","","","","","","","","","","",""
"","","","","","","","","2 USB-C ports","","","","","","","","","","","","","",""
"M200","Toshiba","Portege","M200","Toshiba Portege Tablet PC","1 GB","60 GB","1.8 GHz","12.1"" SXGA+ (1400 x 1050) disp","External CDRW/DVD-ROM","","2004-11-02","Limited Depot","3 YEAR","2007-11-01","","","","","","","","Tablet PC"
"","","","","","","","","NVIDIA GeForce FX Go520","Port Replicator III","","","","","","","","","","","","",""
"","","","","","","","","Integrated 10/100 Ethernet, V.","","","","","","","","","","","","","",""
"","","","","","","","","Integrated Intel PRO/Wireless","","","","","","","","","","","","","",""
"XPS8930","Dell","XPS8930","","FY19 XPS 8930","16GB Dual Channel DDR4 at 2666","256GB PCIe x4 SSD + 1TB 7200RP","8th Generation Intel(R) Core(T","Thunderbolt 3","","","2018-07-03","Manufacturer Warranty","3 YEAR","2021-07-04","","","","","","","","Desktop"
"","","","","","","","","HDMI port","","","","","","","","","","","","","",""
"","","","","","","","","Bluetooth 4.2","","","","","","","","","","","","","",""
"","","","","","","","","4 USB 3.0 ports","","","","","","","","","","","","","",""
"","","","","","","","","NVIDIAGeForce GTX 1050T+ Graph","","","","","","","","","","","","","",""
"MBP152017a","Apple","MacBook Pro","MBP152017a","FY2019 Macbook Pro 15 2017","16GB 2400MHz DDR4","512GB Flash Storage","2.2GHz 6-core Intel Core i7","15.4"" LCD","Power Adapter","","2018-07-20","Apple Limited Warranty","3 YEAR","2021-07-19","","","","","","","","Laptop"
"","","","","","","","","Retina Display","Mini-Display to VGA Adapter","","","","","","","","","","","","",""
"","","","","","","","","Flash Storage","","","","","","","","","","","","","",""
"","","","","","","","","720p FaceTime HD camera","","","","","","","","","","","","","",""
"","","","","","","","","Radeon Pro 555x graphics","","","","","","","","","","","","","",""
"","","","","","","","","4 USB-C Ports","","","","","","","","","","","","","",""
"MBAIR132017c","Apple","MacBook Air","MBAIR132017c","FY19 MacBook Air 13 2017","8GB 1600MHz LPDDR3 SDRAM","256GB 5400RPM","1.8GHz dual-core Intel Core i5","13.3”" LCD","Power Adapter","","2018-08-14","Apple Limited Warranty","3 YEAR","2021-08-15","","","","","","","","Laptop"
"","","","","","","","","HDMI video output","Mini-Display to VGA Adapter","","","","","","","","","","","","",""
"","","","","","","","","SDXC card slot","","","","","","","","","","","","","",""
"","","","","","","","","Intel HD Graphics 6000","","","","","","","","","","","","","",""
"Precision5530d","Dell","Precision","Precision5530","FY19 Dell Precision 5530 i7","16GB 2666MHz DDR4","256GB M.2 PCIe SSD","2.6GHz Intel i7-8850H 6Core","13.3” LCD","USBC to USB Adapter","","2018-09-01","ProSupport","3 YEAR","2021-09-02","","","","","","","","Laptop"
"","","","","","","","","Nvidia Quadro P1000 w/4GB GDDR","30W Power Adapter","","","","","","","","","","","","",""
"","","","","","","","","Bluetooth 5.0","USB-C to Ethernet adapter","","","","","","","","","","","","",""
"","","","","","","","","Qualcomm QCA6174AXR Wireless","","","","","","","","","","","","","",""
"XPS139305b","Dell","XPS13","XPS139305","FY21 Dell XPS13 9305 i7","8GB LPDDR3 1866MHz","256GB M.2 PCIe SSD","11th Gen Intel Core i7-1165G7","13.3” LCD","65 W (USB Type-C)","","2021-06-01","ProSupport","3 YEAR","2024-06-02","","","","","","","","Laptop"
"","","","","","","","","52WHr Battery","","","","","","","","","","","","","",""
"","","","","","","","","Intel Iris Xe Graphics","","","","","","","","","","","","","",""
"","","","","","","","","Intel Killer 1650W","","","","","","","","","","","","","",""
"MBAIR13M12021g","Apple","MacBook Air","MBAIR13M12020","FY22 MacBook Air13 2020","8GB memory","256GB SSD","M1 chip with 8-core CPU","13.3”" Retina LCD","USB-C Mobile Adapter","","2022-01-04","Apple Limited Warranty","3 YEAR","2025-01-03","","","","","","","","Laptop"
"","","","","","","","","Touch ID","USB-C Power Adapter","","","","","","","","","","","","",""
"","","","","","","","","2 Thunderbolt/USB 4 ports","","","","","","","","","","","","","",""
"","","","","","","","","Wi-Fi 6 and Bluetooth 5","","","","","","","","","","","","","",""
"","","","","","","","","7 core GPU","","","","","","","","","","","","","",""
"","","","","","","","","8 core CPU","","","","","","","","","","","","","",""
"MS2022","Apple","MacStudio","MJMV3LL-A","FY2023 -  MacStudio 2022","64GB Unified Memory","4 TB","M1 MAX WITH 10C CPU, 32C GPU","Four Thunderbolt 4 ports","Power Adapter","","2022-06-25","Apple Limited Warranty","3 YEAR","2025-06-26","","","","","","","","Desktop"
"","","","","","","","","Two USB-A ports","","","","","","","","","","","","","",""
"","","","","","","","","One HDMI port","","","","","","","","","","","","","",""
"","","","","","","","","One 10Gb Ethernet port","","","","","","","","","","","","","",""
"","","","","","","","","One 3.5 mm headphone jack","","","","","","","","","","","","","",""
"MBP142021","Apple","MacBook Pro","MBP142021","FY23 MacBook Pro14 2021","16GB unified memory","512GB SSD","M1 Pro chip with 8-core CPU","Touch ID","MagSafe 3 Port PA","","2022-08-02","Apple Limited Warranty","3 YEAR","2025-08-03","","","","","","","","Laptop"
"","","","","","","","","14.2-inch Liquid Retina w/XDR","67Wa USB-C Power Adapter","","","","","","","","","","","","",""
"","","","","","","","","14-core GPU","USB-C to MagSafe 3 cable","","","","","","","","","","","","",""
"","","","","","","","","3 Thunderbolt 4 ports","","","","","","","","","","","","","",""
"","","","","","","","","HDMI Port","","","","","","","","","","","","","",""
"","","","","","","","","SDXC Card Slot","","","","","","","","","","","","","",""
"MBAIR13M2022b","Apple","MacBook Air","MBA13M22022","FY22 MacBook Air13 M2 2022","8GB Unified Memory","256GB SSD","M2","Touch ID","USB-C Mobile Adapter","","2022-12-31","Apple Limited Warranty","3 YEAR","2025-12-31","","","","","","","","Laptop"
"","","","","","","","","8 Core Cpu","USB-C Power Adapter","","","","","","","","","","","","",""
"","","","","","","","","10 Core Gpu","","","","","","","","","","","","","",""
"","","","","","","","","13.6"" Liquid Retina Display","","","","","","","","","","","","","",""
"G5c","MAC","G5","G5-1.8Ghz","G5 Desktop C","512 MB","160GB","1.8 GHz Dual","SuperDrive (DVD-R/CD-RW)","","","","Depot","3 YEAR","2005-07-26","","","","","","","","Desktop"
"","","","","","","","","FireWire 800","","","","","","","","","","","","","",""
"","","","","","","","","ATI 9600XT","","","","","","","","","","","","","",""
"Quadra 950","MAC","Quadra 950","","MAC Quadra 950 Desktop","","","","","","","","","","","","","","","","","","Desktop"
"Optra 45n","Lexmark","Optra 45n","","Lexmark Optra 45n Color Inkjet","","","","","","","","","","","","","","","","","","Printer"
"MacBookPro","MAC","MacBook Pro","MacBook Pro","MacBook Pro","1 GB PC2700 DDR2","80 GB","2.0 GHz Core Duo","10/100/1000 Integrated NIC","","","2006-05-17","AppleCare","3 YEAR","2009-05-17","","","","","","","","Laptop"
"","","","","","","","","Internal Wireless 802.11g","","","","","","","","","","","","","",""
"","","","","","","","","15.1"" TFT LCD","","","","","","","","","","","","","",""
"","","","","","","","","ATI Radeon X1600 128MB","","","","","","","","","","","","","",""
"D620c","Dell","Latitude","D620c","FY2007 Third Shipment","1 GB DDR2","60 GB SATA II 5.4K","2.0 GHz Intel Duo 667 FSB L2","WXGA+ 14.1 LCD","65-Watt Power Adapter","","2006-07-25","Next Business Day 9-5","4 YEAR","2010-07-23","","","","","","","","Laptop"
"","","","","","","","","56-WHr 6 Cell Battery","","","","","","","","","","","","","",""
"","","","","","","","","24X CDRW/DVD","","","","","","","","","","","","","",""
"","","","","","","","","Intel 3945 802.11a/g WiFi","","","","","","","","","","","","","",""
"","","","","","","","","56K v924 Internal Modem","","","","","","","","","","","","","",""
"","","","","","","","","10/100/1000 Gigabit Ethernet","","","","","","","","","","","","","",""
"","","","","","","","","Nvidia Quadro 110M 256 MB","","","","","","","","","","","","","",""
"E3000","Gateway","E3000","","Gateway E3000 Desktop","","","","","","","","","","","","","","","","","","Desktop"
"Netvista A","IBM","Netvista A","","IBM Netvista A Desktop","","","","","","","","","","","","","","","","","","Desktop"
"iPhone2009_16x","Apple","iPhone","MB705LL-A","Warranty Exchange for iPhone","","16 GB","","","USB 2.0 cable","","2008-08-20","Apple Limited Warranty","1 YEAR","2009-08-19","","","","","","","","Handheld"
"","","","","","","","","","Earphones","","","","","","","","","","","","",""
"","","","","","","","","","USB Power Adapter","","","","","","","","","","","","",""
"D600jP","Dell","Latitude","D600j","Parts Laptop","512 MB DDR PC2100 SDRAM","40GB EIDE/ATA 100 5400 rpm","1.4 GHz Intel Pentium M","14.1"" SXGA TFT LCD","65-Watt AC Power Adapter","","2004-08-30","Next Day Business Day On-Site","3 YEAR","2007-08-29","","","","","","","","Laptop"
"","","","","","","","","TrueMobile 1400 ABG Wireless","Ethernet Cable","","","","","","","","","","","","",""
"","","","","","","","","10/100/1000 Ethernet LAN ","","","","","","","","","","","","","",""
"","","","","","","","","56K v.92 Internal Modem","","","","","","","","","","","","","",""
"","","","","","","","","CD-RW/DVD Combo Drive","","","","","","","","","","","","","",""
"","","","","","","","","USB 2.0","","","","","","","","","","","","","",""
"MBP13M09c","Apple","MacBook Pro","MBP13M09c","FY2010 MacBook Pro 13 Mid 2009","2GB 1066 DDR3","160 GB 5400RPM","2.26 GHz Core 2 Duo","13.3”" LCD","Power Adapter","","2009-09-02","Apple Limited Warranty","1 YEAR","2010-09-01","","","","","","","","Laptop"
"","","","","","","","","GeForce 9400M","Mini-Display to VGA Adapter","","","","","","","","","","","","",""
"","","","","","","","","SuperDrive","","","","","","","","","","","","","",""
"iPh3GS_2010_16x","Apple","iPhone","MC135LL-A","iPhone 3GS 16 GB Warranty Exch","","16 GB","","","USB 2.0 cable","","2009-08-17","Apple Limited Warranty","1 YEAR","2010-08-16","","","","","","","","Handheld"
"","","","","","","","","","Earphones","","","","","","","","","","","","",""
"","","","","","","","","","USB Power Adapter","","","","","","","","","","","","",""
"OptiPlex380a","Dell","OptiPlex","380","Minitower Desktop","4 GB (2x2GB)","320 GB SATA  WD 7200","2.93 GHz Wolfdale","Broadcom BCM57780 Integrated N","Dell USB Keyboard","","2010-05-20","8-5 Next Business Day","3 YEAR","2013-05-20","","","","","","","","Desktop"
"","","","","","","","","DVD+/-RW, 16X","Dell Optical Mouse","","","","","","","","","","","","",""
"","","","","","","","","Intel GMA X4500 Integrated","","","","","","","","","","","","","",""
"MBP15L08b","Apple","MacBook Pro","MBP15L08b","FY2010 MacBook Pro Mar 2009","2GB 1066 DDR3","250 GB 7200RPM","2.4 GHz Core 2 Duo","15.4"" LCD","Power Adapter","","2009-03-15","Apple Limited Warranty","1 YEAR","2010-03-14","","","","","","","","Laptop"
"","","","","","","","","GeForce 9600GT 512MB","","","","","","","","","","","","","",""
"","","","","","","","","SuperDrive","","","","","","","","","","","","","",""
"MBP15M10b","Apple","MacBook Pro","MBP15M10b","FY2011 MacBook Pro 15 Mid 2010","4GB 1066 DDR3","320 GB 5400RPM","2.4 GHz Core I5","SuperDrive","Power Adapter","","2011-01-26","Apple Limited Warranty","3 YEAR","2014-01-25","","","","","","","","Laptop"
"","","","","","","","","15.4"" LCD","Mini-Display to VGA Adapter","","","","","","","","","","","","",""
"","","","","","","","","GeForce GT 330 M Video","","","","","","","","","","","","","",""
"MB13M10d","Apple","MacBook","MB13M10d","FY2012 MacBook Mid 2010","2GB 1066 DDR3","250 GB","2.4 GHz Core Duo","DVD-RW","Power Adapter","","2011-03-26","Apple Limited Warranty","3 YEAR","2014-03-25","","","","","","","","Laptop"
"","","","","","","","","13.3”" LCD","Mini-DVI to VGA Adapter","","","","","","","","","","","","",""
"","","","","","","","","nVidia GeForce 320M","","","","","","","","","","","","","",""
"MBP15E11b","Apple","MacBook Pro","MBP15E11b","FY2012 MacBook Pro 15 Ear 2011","4GB 1333MHz DDR3","500GB 5400RPM","2.0GHz quad-core Intel Core i7","SuperDrive","Power Adapter","","2011-05-18","Apple Limited Warranty","3 YEAR","2014-05-19","","","","","","","","Laptop"
"","","","","","","","","15.4"" LCD","Mini-Display to VGA Adapter","","","","","","","","","","","","",""
"","","","","","","","","AMD Radeon HD 6490M","","","","","","","","","","","","","",""
"MMSM11a","Apple","Mac Mini Server","MC936LL-A","FY2012 MacMini Server Mid 2011","4GB 1333MHz DDR3","Dual 500GB","20. GHz Quad-Core i7","4GB of 1333MHz DDR3 memory","Power Adapter","","2011-09-06","Apple Limited Warranty","3 YEAR","2014-09-07","","","","","","","","Server"
"","","","","","","","","Dual 500GB hard drive","HDMI to DVI Adapter","","","","","","","","","","","","",""
"","","","","","","","","2.0GHz Quad-Core Intel Core i7","","","","","","","","","","","","","",""
"iPod_2012_32b","Apple","iPod Touch","MC544LL-A","FY2012 iPod Touch G4 32GB","","32 GB","","","USB 2.0 cable","","2011-09-21","Apple Limited Warranty","1 YEAR","2012-09-22","","","","","","","","Handheld"
"","","","","","","","","","Earphones","","","","","","","","","","","","",""
"X200","Mitsubishi","X200","LVP-X200A","Mitsubishi X200 Projector","","","","","","","","","","","","","","","","","","Projector"
"iPh4S_2012_16x","Apple","iPhone","MC918LL-A","iPhone 4S 16 GB FY2012","","16 GB","","","USB 2.0 cable","","2011-07-07","Apple Limited Warranty","1 YEAR","2012-07-06","","","","","","","","Handheld"
"","","","","","","","","","Earphones","","","","","","","","","","","","",""
"","","","","","","","","","USB Power Adapter","","","","","","","","","","","","",""
"iPod_2012_8x","Apple","iPod Touch","MC540LL-A","FY2012 iPod Touch G4 8GB Excha","","8 GB","","","USB 2.0 cable","","2011-08-18","Apple Limited Warranty","1 YEAR","2012-08-17","","","","","","","","Handheld"
"","","","","","","","","","Earphones","","","","","","","","","","","","",""
"iPadM_2013_32Wa","Apple","iPad","MD529LL-A","FY2013 iPadM WiFi  32 GB","","32 GB","","WiFi (802.11 a/b/g/n)","10W USB Power Adapter","","2012-11-11","Apple Limited Warranty","1 YEAR","2013-11-12","","","","","","","","Handheld"
"","","","","","","","","Bluetooth 4.0","Lightening to USB cable","","","","","","","","","","","","",""
"MBAIR13M12f","Apple","MacBook Air","MBAIR13M12f","FY2014 13 MBAir Student Model","8 GB  DDR3","256 GB","1.8 GHz Core Duo Intel i5","13.3”" LCD","Power Adapter","","2013-03-23","Apple Limited Warranty","3 YEAR","2016-03-24","","","","","","","","Laptop"
"","","","","","","","","Solid State Hard Drive","Video Adapter","","","","","","","","","","","","",""
"","","","","","","","","Thunderbolt Port","","","","","","","","","","","","","",""
"Precision670","Dell","Precision","670","Precision 670 Minitower","2.5GB DDR2","40GB SATA","2- 3GHz XEON 2MB L2","16X DVD-+RW","","","2005-04-20","NBD On-Site","3 YEAR","2008-04-21","","","","","","","","Desktop"
"","","","","","","","","nVidia Quadro PCIe 64MB","","","","","","","","","","","","","",""
